"Датум","Цена на последна трансакција","Мак.","Мин.","Просечна цена","%пром.","Количина","Промет во БЕСТ во денари","Вкупен промет во денари"
"10.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"11.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"14.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"15.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"16.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"17.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"18.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"21.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"22.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"23.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"24.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"25.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"29.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"30.7.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"31.7.2014","2.400,00","2.400,00","2.400,00","2.400,00","0,00","23","55.200","55.200"
"01.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"04.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"05.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"06.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"07.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"08.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"11.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"12.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"13.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"14.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"15.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"18.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"19.8.2014","2.400,00","2.400,00","2.400,00","2.400,00","0,00","32","76.800","76.800"
"20.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"21.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"22.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"25.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"26.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"27.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"29.8.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"01.9.2014","2.400,00","2.400,00","2.400,00","2.400,00","0,00","9","21.600","21.600"
"02.9.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"03.9.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"04.9.2014","2.400,00","","","2.400,00","0,00","0","0","0"
"05.9.2014","2.450,00","2.450,00","2.450,00","2.450,00","2,08","100","245.000","245.000"
"09.9.2014","2.450,00","2.450,00","2.450,00","2.450,00","0,00","20","49.000","49.000"
"10.9.2014","2.450,00","","","2.450,00","0,00","0","0","0"
"11.9.2014","2.450,00","","","2.450,00","0,00","0","0","0"
"12.9.2014","2.450,00","","","2.450,00","0,00","0","0","0"
"15.9.2014","2.450,00","","","2.450,00","0,00","0","0","0"
"16.9.2014","2.450,00","","","2.450,00","0,00","0","0","0"
"17.9.2014","2.450,00","","","2.450,00","0,00","0","0","0"
